id,title,author,tags
7f221c34fbb94e57bbbcc202fc533bfa,['使至塞上'],唐代 王维,"初中古诗,边塞,写景,战士,早教,最美,优美"
8411fcf1c8a04dcd8eb4b64b8f215e9b,['宴散'],唐代 白居易,"秋天,宴饮,生活"
c02ed36564fe425c8403c41ae1d3de77,['霜天晓角·人影窗纱'],宋代 蒋捷,生活
b542016c7a5947e2afa6ebfaaaef6d65,['蝶恋花·晓日窥轩双燕语'],宋代 秦观,"春天,惜春,抒情,伤怀,孤寂"
5fc9d0e7612b417dbbecfad995219c17,['道间即事'],宋代 黄公度,"田园,写景,抒怀"
205fd0b294124529b87ffdd3a4ae5d1a,['从军诗五首·其二'],两汉 王粲,"战争,抒情,悲伤"
a9a2b954908f4549b39b8bdea9e244dc,[],,
6eb31c78915b4c0aac0363cac0a437de,['览镜书怀'],唐代 李白,"感慨,人生"
3c1f189d4e8845498783a1524773a5b4,['留别妻'],两汉 苏武,"新婚,离别,思念"
8775337dc9ec43cda3598415bfadf927,['水调歌头·金山观月'],宋代 张孝祥,"豪放,登高,写景,长江,抒情"
080efeaaec95492a8da0d25d5019d434,"['金陵驿·其一', '草合离宫转夕晖，孤云飘泊复何依？', '山河风景元无异，城郭人民半已非。', '满地芦花和我老，旧家燕子傍谁飞？', '从今别却江南路，化作啼鹃带血归。']",宋代 文天祥,"漂泊,抒情,伤怀"
f9adbd09d6aa4519aaf292a1c0b74b44,['琴茶'],唐代 白居易,"生活,爱国"
eb265b78402648f7a05dbebd04f57bc3,[],,
